Age,Embarked,PassengerId,Pclass,Sex,Fare_bin,Fare_class,Family_group,Title,Deck,Survived
35.0,2,212,1,0,1,2,0,1,8,1.0
22.0,2,213,2,1,0,0,0,2,8,0.0
30.0,2,214,1,1,0,1,0,2,8,0.0
28.3,1,215,2,1,0,0,1,2,8,0.0
31.0,0,216,0,0,3,3,1,1,3,1.0
27.0,2,217,2,0,0,0,0,1,8,1.0
42.0,2,218,1,1,2,2,1,2,8,0.0
32.0,0,219,0,0,3,2,0,1,3,1.0
30.0,2,220,1,1,0,1,0,2,8,0.0
16.0,2,221,2,1,0,0,0,2,8,1.0
27.0,2,222,1,1,0,1,0,2,8,0.0
51.0,2,223,2,1,0,0,0,2,8,0.0
28.3,2,224,2,1,0,0,0,2,8,0.0
38.0,2,225,0,1,3,3,1,2,2,1.0
22.0,2,226,2,1,0,0,0,2,8,0.0
19.0,2,227,1,1,0,1,0,2,8,1.0
20.5,2,228,2,1,0,0,0,2,8,0.0
18.0,2,229,1,1,0,1,0,2,8,0.0
17.3,2,230,2,0,2,1,0,1,8,0.0
35.0,2,231,0,0,3,2,1,3,2,1.0
29.0,2,232,2,1,0,0,0,2,8,0.0
59.0,2,233,1,1,1,1,0,2,8,0.0
5.0,2,234,2,0,2,2,0,1,8,1.0
24.0,2,235,1,1,0,1,0,2,8,0.0
17.3,2,236,2,0,0,0,0,1,8,0.0
44.0,2,237,1,1,2,2,1,2,8,0.0
8.0,2,238,1,0,2,2,1,1,8,1.0
19.0,2,239,1,1,0,1,0,2,8,0.0
33.0,2,240,1,1,0,1,0,2,8,0.0
17.3,0,241,2,0,1,1,1,1,8,0.0
17.3,1,242,2,0,1,1,1,1,8,1.0
29.0,2,243,1,1,0,1,0,2,8,0.0
22.0,2,244,2,1,0,0,0,2,8,0.0
30.0,0,245,2,1,0,0,0,2,8,0.0
44.0,1,246,0,1,3,3,1,2,2,0.0
25.0,2,247,2,0,0,0,0,1,8,0.0
24.0,2,248,1,0,1,1,1,3,8,1.0
37.0,2,249,0,1,3,2,1,2,3,1.0
54.0,2,250,1,1,2,2,1,2,8,0.0
28.3,2,251,2,1,0,0,0,2,8,0.0
29.0,2,252,2,0,0,0,1,3,6,0.0
62.0,2,253,0,1,2,2,0,2,2,0.0
30.0,2,254,2,1,1,1,1,2,8,0.0
41.0,2,255,2,0,1,1,1,3,8,0.0
29.0,0,256,2,0,1,1,1,3,8,1.0
43.0,0,257,0,0,3,2,0,3,8,1.0
30.0,2,258,0,0,3,2,0,1,1,1.0
35.0,0,259,0,0,3,3,0,1,8,1.0
50.0,2,260,1,0,2,2,1,3,8,1.0
28.3,1,261,2,1,0,0,0,2,8,0.0
3.0,2,262,2,1,2,2,0,0,8,1.0
52.0,2,263,0,1,3,2,1,2,4,0.0
40.0,2,264,0,1,-1,-1,0,2,1,0.0
17.3,1,265,2,0,0,0,0,1,8,0.0
36.0,2,266,1,1,0,1,0,2,8,0.0
16.0,2,267,2,1,2,2,0,2,8,0.0
25.0,2,268,2,1,0,0,1,2,8,1.0
58.0,2,269,0,0,3,3,1,3,2,1.0
35.0,2,270,0,0,3,3,0,1,2,1.0
42.2,2,271,0,1,2,2,0,2,8,0.0
25.0,2,272,2,1,-1,-1,0,2,8,1.0
41.0,2,273,1,0,1,1,1,3,8,1.0
37.0,0,274,0,1,2,2,1,2,2,0.0
17.3,1,275,2,0,0,0,0,1,8,1.0
63.0,2,276,0,0,3,2,1,1,3,1.0
45.0,2,277,2,0,0,0,0,1,8,0.0
33.0,2,278,1,1,-1,-1,0,2,8,0.0
7.0,1,279,2,1,2,1,0,0,8,0.0
35.0,2,280,2,0,1,1,1,3,8,1.0
65.0,1,281,2,1,0,0,0,2,8,0.0
28.0,2,282,2,1,0,0,0,2,8,0.0
16.0,2,283,2,1,0,0,0,2,8,0.0
19.0,2,284,2,1,0,0,0,2,8,1.0
42.2,2,285,0,1,2,2,0,2,0,0.0
33.0,0,286,2,1,0,0,0,2,8,0.0
30.0,2,287,2,1,0,0,0,2,8,1.0
22.0,2,288,2,1,0,0,0,2,8,0.0
42.0,2,289,1,1,0,1,0,2,8,1.0
22.0,1,290,2,0,0,0,0,1,8,1.0
26.0,2,291,0,0,3,2,0,1,8,1.0
19.0,0,292,0,0,3,3,1,3,1,1.0
36.0,0,293,1,1,0,1,0,2,3,0.0
24.0,2,294,2,0,0,0,0,1,8,0.0
24.0,2,295,2,1,0,0,0,2,8,0.0
42.2,0,296,0,1,2,2,0,2,8,0.0
23.5,0,297,2,1,0,0,0,2,8,0.0
2.0,2,298,0,0,3,3,1,1,2,0.0
42.2,2,299,0,1,2,2,0,2,2,1.0
50.0,0,300,0,0,3,3,1,3,1,1.0
17.3,1,301,2,0,0,0,0,1,8,1.0
28.3,1,302,2,1,2,1,1,2,8,1.0
19.0,2,303,2,1,-1,-1,0,2,8,0.0
21.1,1,304,1,0,0,1,0,1,4,1.0
28.3,2,305,2,1,0,0,0,2,8,0.0
0.92,2,306,0,1,3,3,1,0,2,1.0
30.1,0,307,0,0,3,3,0,1,8,1.0
17.0,0,308,0,0,3,3,1,3,2,1.0
30.0,0,309,1,1,2,2,1,2,8,0.0
30.0,0,310,0,0,3,2,0,1,4,1.0
24.0,0,311,0,0,3,2,0,1,2,1.0
18.0,0,312,0,0,3,3,0,1,1,1.0
26.0,2,313,1,0,2,2,1,3,8,0.0
28.0,2,314,2,1,0,0,0,2,8,0.0
43.0,2,315,1,1,2,2,1,2,8,0.0
26.0,2,316,2,0,0,0,0,1,8,1.0
24.0,2,317,1,0,2,2,1,3,8,1.0
54.0,2,318,1,1,1,1,0,2,8,0.0
31.0,2,319,0,0,3,3,1,1,2,1.0
40.0,0,320,0,0,3,3,1,3,4,1.0
22.0,2,321,2,1,0,0,0,2,8,0.0
27.0,2,322,2,1,0,0,0,2,8,0.0
30.0,1,323,1,0,0,1,0,1,8,1.0
22.0,2,324,1,0,2,2,1,3,8,1.0
28.3,2,325,2,1,3,2,0,2,8,0.0
36.0,0,326,0,0,3,3,0,1,2,1.0
61.0,2,327,2,1,0,0,0,2,8,0.0
36.0,2,328,1,0,0,1,0,3,3,1.0
31.0,2,329,2,0,1,1,1,3,8,1.0
16.0,0,330,0,0,3,2,1,1,1,1.0
17.3,1,331,2,0,2,1,1,1,8,1.0
45.5,2,332,0,1,2,2,0,2,2,0.0
38.0,2,333,0,1,3,3,1,2,2,0.0
16.0,2,334,2,1,1,1,1,2,8,0.0
43.0,2,335,0,0,3,3,1,3,8,1.0
28.3,2,336,2,1,0,0,0,2,8,0.0
29.0,2,337,0,1,3,2,1,2,2,0.0
41.0,0,338,0,0,3,3,0,1,4,1.0
45.0,2,339,2,1,0,0,0,2,8,1.0
45.0,2,340,0,1,2,2,0,2,7,0.0
2.0,2,341,1,1,2,2,1,0,5,1.0
24.0,2,342,0,0,3,3,0,1,2,1.0
28.0,2,343,1,1,0,1,0,2,8,0.0
25.0,2,344,1,1,0,1,0,2,8,0.0
36.0,2,345,1,1,0,1,0,2,8,0.0
24.0,2,346,1,0,0,1,0,1,5,1.0
40.0,2,347,1,0,0,1,0,1,8,1.0
32.3,2,348,2,0,1,1,1,3,8,1.0
3.0,2,349,2,1,1,1,1,0,8,1.0
42.0,2,350,2,1,0,0,0,2,8,0.0
23.0,2,351,2,1,0,0,0,2,8,0.0
42.2,2,352,0,1,2,2,0,2,2,0.0
15.0,0,353,2,1,0,0,1,2,8,0.0
25.0,2,354,2,1,1,1,1,2,8,0.0
28.3,0,355,2,1,0,0,0,2,8,0.0
28.0,2,356,2,1,0,0,0,2,8,0.0
22.0,2,357,0,0,3,2,1,1,4,1.0
38.0,2,358,1,0,0,1,0,1,8,0.0
17.3,1,359,2,0,0,0,0,1,8,1.0
17.3,1,360,2,0,0,0,0,1,8,1.0
40.0,2,361,2,1,2,1,0,2,8,0.0
29.0,0,362,1,1,2,2,1,2,8,0.0
45.0,0,363,2,0,1,1,1,3,8,0.0
35.0,2,364,2,1,0,0,0,2,8,0.0
28.3,1,365,2,1,1,1,1,2,8,0.0
30.0,2,366,2,1,0,0,0,2,8,0.0
60.0,0,367,0,0,3,2,1,3,3,1.0
32.3,0,368,2,0,0,0,0,3,8,1.0
17.3,1,369,2,0,0,0,0,1,8,1.0
24.0,0,370,0,0,3,2,0,3,1,1.0
25.0,0,371,0,1,3,2,1,2,4,1.0
18.0,2,372,2,1,0,0,1,2,8,0.0
19.0,2,373,2,1,0,0,0,2,8,0.0
22.0,0,374,0,1,3,3,0,2,8,0.0
3.0,2,375,2,0,2,1,0,1,8,0.0
43.0,0,376,0,0,3,2,1,3,8,1.0
22.0,2,377,2,0,0,0,0,1,8,1.0
27.0,0,378,0,1,3,3,1,2,2,0.0
20.0,0,379,2,1,0,0,0,2,8,0.0
19.0,2,380,2,1,0,0,0,2,8,0.0
42.0,0,381,0,0,3,3,0,1,8,1.0
1.0,0,382,2,0,1,1,1,1,8,1.0
32.0,2,383,2,1,0,0,0,2,8,0.0
35.0,2,384,0,0,3,2,1,3,8,1.0
28.3,2,385,2,1,0,0,0,2,8,0.0
18.0,2,386,1,1,3,2,0,2,8,0.0
1.0,2,387,2,1,2,2,0,0,8,0.0
36.0,2,388,1,0,0,1,0,1,8,1.0
28.3,1,389,2,1,0,0,0,2,8,0.0
17.0,0,390,1,0,0,1,0,1,8,1.0
36.0,2,391,0,1,3,3,1,2,1,1.0
21.0,2,392,2,1,0,0,0,2,8,1.0
28.0,2,393,2,1,0,0,1,2,8,0.0
23.0,0,394,0,0,3,3,1,1,3,1.0
24.0,2,395,2,0,1,1,1,3,6,1.0
22.0,2,396,2,1,0,0,0,2,8,0.0
31.0,2,397,2,0,0,0,0,1,8,0.0
46.0,2,398,1,1,2,2,0,2,8,0.0
23.0,2,399,1,1,0,1,0,2,8,0.0
28.0,2,400,1,0,0,1,0,3,8,1.0
39.0,2,401,2,1,0,0,0,2,8,1.0
26.0,2,402,2,1,0,0,0,2,8,0.0
21.0,2,403,2,0,0,0,1,1,8,0.0
28.0,2,404,2,1,1,1,1,2,8,0.0
20.0,2,405,2,0,0,0,0,1,8,0.0
34.0,2,406,1,1,1,2,1,2,8,0.0
51.0,2,407,2,1,0,0,0,2,8,0.0
3.0,2,408,1,1,1,1,1,0,8,1.0
21.0,2,409,2,1,0,0,0,2,8,0.0
17.3,2,410,2,0,2,1,0,1,8,0.0
28.3,2,411,2,1,0,0,0,2,8,0.0
28.3,1,412,2,1,0,0,0,2,8,0.0
33.0,1,413,0,0,3,3,1,1,2,1.0
33.0,2,414,1,1,-1,-1,0,2,8,0.0
44.0,2,415,2,1,0,0,0,2,8,1.0
32.3,2,416,2,0,0,0,0,3,8,0.0
34.0,2,417,1,0,2,2,1,3,8,1.0
18.0,2,418,1,0,0,1,1,1,8,1.0
30.0,2,419,1,1,0,1,0,2,8,0.0
10.0,2,420,2,0,2,1,1,1,8,0.0
28.3,0,421,2,1,0,0,0,2,8,0.0
21.0,1,422,2,1,0,0,0,2,8,0.0
29.0,2,423,2,1,0,0,0,2,8,0.0
28.0,2,424,2,0,1,1,1,3,8,0.0
18.0,2,425,2,1,1,1,1,2,8,0.0
28.3,2,426,2,1,0,0,0,2,8,0.0
28.0,2,427,1,0,2,2,1,3,8,1.0
19.0,2,428,1,0,2,2,0,1,8,1.0
28.3,1,429,2,1,0,0,0,2,8,0.0
32.0,2,430,2,1,0,0,0,2,4,1.0
28.0,2,431,0,1,2,2,0,2,2,1.0
32.3,2,432,2,0,1,1,1,3,8,1.0
42.0,2,433,1,0,2,2,1,3,8,1.0
17.0,2,434,2,1,0,0,0,2,8,0.0
50.0,2,435,0,1,3,2,1,2,4,0.0
14.0,2,436,0,0,3,3,1,1,1,1.0
21.0,2,437,2,0,2,2,0,1,8,0.0
24.0,2,438,1,0,1,1,0,3,8,1.0
64.0,2,439,0,1,3,3,0,2,2,0.0
31.0,2,440,1,1,0,1,0,2,8,0.0
45.0,2,441,1,0,2,2,1,3,8,1.0
20.0,2,442,2,1,0,0,0,2,8,0.0
25.0,2,443,2,1,0,0,1,2,8,0.0
28.0,2,444,1,0,0,1,0,1,8,1.0
28.3,2,445,2,1,0,0,0,2,8,1.0
4.0,2,446,0,1,3,2,1,0,0,1.0
13.0,2,447,1,0,1,1,1,1,8,1.0
34.0,2,448,0,1,2,2,0,2,8,1.0
5.0,0,449,2,0,1,1,1,1,8,1.0
52.0,2,450,0,1,2,2,0,2,2,1.0
36.0,2,451,1,1,2,2,1,2,8,0.0
28.3,2,452,2,1,1,1,1,2,8,0.0
30.0,0,453,0,1,2,2,0,2,2,0.0
49.0,0,454,0,1,3,3,1,2,2,1.0
28.3,2,455,2,1,0,0,0,2,8,0.0
29.0,0,456,2,1,0,0,0,2,8,1.0
65.0,2,457,0,1,2,2,0,2,4,0.0
43.0,2,458,0,0,3,2,1,3,3,1.0
50.0,2,459,1,0,0,1,0,1,8,1.0
28.3,1,460,2,1,0,0,0,2,8,0.0
48.0,2,461,0,1,2,2,0,2,4,1.0
34.0,2,462,2,1,0,0,0,2,8,0.0
47.0,2,463,0,1,2,2,0,2,4,0.0
48.0,2,464,1,1,0,1,0,2,8,0.0
28.3,2,465,2,1,0,0,0,2,8,0.0
38.0,2,466,2,1,0,0,0,2,8,0.0
33.0,2,467,1,1,-1,-1,0,2,8,0.0
56.0,2,468,0,1,2,2,0,2,8,0.0
28.3,1,469,2,1,0,0,0,2,8,0.0
0.75,0,470,2,0,1,1,1,1,8,1.0
28.3,2,471,2,1,0,0,0,2,8,0.0
38.0,2,472,2,1,0,0,0,2,8,0.0
33.0,2,473,1,0,2,2,1,3,8,1.0
23.0,0,474,1,0,1,1,0,3,3,1.0
22.0,2,475,2,0,0,0,0,1,8,0.0
42.2,2,476,0,1,3,2,0,2,0,0.0
34.0,2,477,1,1,1,2,1,2,8,0.0
29.0,2,478,2,1,0,0,1,2,8,0.0
22.0,2,479,2,1,0,0,0,2,8,0.0
2.0,2,480,2,0,0,1,1,1,8,1.0
9.0,2,481,2,1,2,2,0,0,8,0.0
33.0,2,482,1,1,-1,-1,0,2,8,0.0
50.0,2,483,2,1,0,0,0,2,8,0.0
63.0,2,484,2,0,0,0,0,3,8,1.0
25.0,0,485,0,1,3,3,1,2,1,1.0
17.3,2,486,2,0,2,1,0,1,8,0.0
35.0,2,487,0,0,3,3,1,3,2,1.0
58.0,0,488,0,1,2,2,0,2,1,0.0
30.0,2,489,2,1,0,0,0,2,8,0.0
9.0,2,490,2,1,1,1,1,0,8,1.0
28.3,2,491,2,1,1,1,1,2,8,0.0
21.0,2,492,2,1,0,0,0,2,8,0.0
55.0,2,493,0,1,2,2,0,2,2,0.0
71.0,0,494,0,1,2,2,0,2,8,0.0
21.0,2,495,2,1,0,0,0,2,8,0.0
28.3,0,496,2,1,1,1,0,2,8,0.0
54.0,0,497,0,0,3,2,1,1,3,1.0
28.3,2,498,2,1,1,1,0,2,8,0.0
25.0,2,499,0,0,3,3,1,3,2,0.0
24.0,2,500,2,1,0,0,0,2,8,0.0
17.0,2,501,2,1,0,0,0,2,8,0.0
21.0,1,502,2,0,0,0,0,1,8,0.0
17.3,1,503,2,0,0,0,0,1,8,0.0
37.0,2,504,2,0,0,0,0,1,8,0.0
16.0,2,505,0,0,3,2,0,1,1,1.0
18.0,0,506,0,1,3,3,1,2,2,0.0
33.0,2,507,1,0,2,2,1,3,8,1.0
42.2,2,508,0,1,2,2,0,2,8,1.0
28.0,2,509,2,1,2,1,0,2,8,0.0
26.0,2,510,2,1,3,2,0,2,8,1.0
29.0,1,511,2,1,0,0,0,2,8,1.0
28.3,2,512,2,1,0,0,0,2,8,0.0
36.0,2,513,0,1,2,2,0,2,4,1.0
54.0,0,514,0,0,3,2,1,3,8,1.0
24.0,2,515,2,1,0,0,0,2,8,0.0
47.0,2,516,0,1,2,2,0,2,3,0.0
34.0,2,517,1,0,0,1,0,3,5,1.0
28.3,1,518,2,1,2,1,0,2,8,0.0
36.0,2,519,1,0,2,2,1,3,8,1.0
32.0,2,520,2,1,0,0,0,2,8,0.0
30.0,2,521,0,0,3,3,0,1,1,1.0
22.0,2,522,2,1,0,0,0,2,8,0.0
28.3,0,523,2,1,0,0,0,2,8,0.0
44.0,0,524,0,0,3,2,1,3,1,1.0
28.3,0,525,2,1,0,0,0,2,8,0.0
40.5,1,526,2,1,0,0,0,2,8,0.0
50.0,2,527,1,0,0,1,0,1,8,1.0
42.2,2,528,0,1,3,3,0,2,2,0.0
39.0,2,529,2,1,0,0,0,2,8,0.0
23.0,2,530,1,1,0,1,1,2,8,0.0
2.0,2,531,1,0,2,2,1,1,8,1.0
28.3,0,532,2,1,0,0,0,2,8,0.0
17.0,0,533,2,1,0,0,1,2,8,0.0
